date,speed
2016-08-07,52.08989826658992
2016-08-12,55.03086178650083
2016-08-13,51.23658442643401
2016-08-15,112.1414955136759
2016-08-16,103.18677239635883
2016-08-28,115.35557833978883
2016-08-29,105.15623772635048
2016-09-08,99.71297182349812
2016-09-11,95.70912888281308
2016-09-12,93.79100022784233
2016-10-02,35.99140898783749
2016-10-04,37.47640898783752
2016-10-05,36.65159417302272
2016-10-13,37.97196454339304
2016-10-14,43.583075654504185
2016-10-19,64.65714972857829
2016-10-20,70.32910740053597
2016-10-22,74.58307565450424
2016-10-23,82.96579170388696
2016-10-25,93.01042608185467
2016-10-26,87.62270269413129
2016-11-05,99.83896109460021
2016-11-06,97.22272927573682
2016-11-07,92.047210934429
2016-11-18,87.13653194480261
2016-11-19,77.83828633076753
2016-11-23,58.35410579395541
