Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Date Started,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,439064864,9.78044E+12,4,4.38,Arthur A. Levine Books,Hardcover,341,1999,1998,,10/21/2014,,,,read,,,,1,,,0,,,,,
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,439554934,9.78044E+12,4,4.45,Scholastic Inc,Hardcover,320,1997,1997,,10/21/2014,,,,read,,,,1,,,0,,,,,
68429,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,"Sanderson, Brandon",,765316889,9.78077E+12,3,4.35,Tor Books,Hardcover,590,2007,2007,10/15/2014,10/12/2014,10/12/2014,,,read,"4 for the book, -1 for hidden chauvinism. Surprised?<br/><br/>I disliked the portrayal of Vin strongly. She had the potential to be a strong female character; but in the end she fares little better than Daisy from Great Gatsby - nothing without ""her man"" beside her. A girl who kills people at night fascinates about ball gowns and men (who can ""support"" her) is certainly an overkill, and thus an eyesore. It could have been more than that, adding a little character integrity besides her overwhelming ""killing machine"" aura (which was well-executed, I have to admit) couldn't hurt.<br/><br/>What did I expect, though - this seemed like a teenage fantasy after all.",,,1,,,0,,,,,
485894,The Metamorphosis,Franz Kafka,"Kafka, Franz",Stanley Corngold,553213695,9.78055E+12,4,3.79,Bantam Books,Paperback,201,1972,1915,10/17/2014,9/17/2014,10/16/2014,,,read,"Easy on the eyes, hard to digest.<br/><br/>The thing that struck as odd in the first look was certainly the most consistent part- Gregor's behavior. At first, it seems odd, why he would not raise a hue and cry; but then again, he was the one with the deformity and by our social norms he is responsible to blend with the shadows by our <b>""Perfect World Hypothesis""</b> (Good things happen to good people, bad things happen to bad people.)<br/><br/>Short, but not easily forgettable.",,,1,,,0,,,,,
68428,"The Final Empire (Mistborn, #1)",Brandon Sanderson,"Sanderson, Brandon",,076531178X,9.78077E+12,4,4.43,Tor Books,Hardcover,541,2006,2006,9/26/2014,9/25/2014,9/17/2014,,,read,,,,1,,,0,,,,,
29581,Foundation and Empire (Foundation #2),Isaac Asimov,"Asimov, Isaac",,553803727,9.78055E+12,4,4.2,Spectra Books,Hardcover,256,2004,1952,9/17/2014,9/13/2014,9/13/2014,,,read,,,,1,,,0,,,,,
29579,Foundation (Foundation #1),Isaac Asimov,"Asimov, Isaac",,553803719,9.78055E+12,4,4.13,Bantam,Hardcover,244,2004,1951,9/13/2014,10/8/2012,9/13/2014,,,read,,,,1,,,0,,,,,
320,One Hundred Years of Solitude,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,60531045,9.78006E+12,4,4.04,Harper,Hardcover,457,2003,1967,9/9/2014,9/2/2014,9/2/2014,,,read,,,,1,,,0,,,,,
16115612,And the Mountains Echoed,Khaled Hosseini,"Hosseini, Khaled",,159463176X,9.78159E+12,3,4.03,Riverhead Books,Hardcover,404,2013,2012,9/2/2014,7/28/2014,9/1/2014,,,read,"It hurts me to rate this book as such, but still, I do not think I can rate it any better.<br/><br/>I finished the book last night, and after 6 hours of sleep, none of what I felt through the last half of the book remains inside me. To me, the first half was mesmerizing, the journey of Baba Ayub, the tree in Shadbagh, fifty years of Nabi and Suleiman Wahdati, those are the part that keeps my mind occupied- it is as though the second half never existed. I think the degree to which it's eclipsed by the first half becomes clear from that. The later chapters kept dragging me out of the story- or maybe they <b>were</b> the story, which makes the cover of incoherency achingly translucent.<br/><br/>This is my first book from [a:Khaled Hosseini|569|Khaled Hosseini|https://d.gr-assets.com/authors/1359753468p2/569.jpg], and I do expect better from the other books of him.",,,1,,,0,,,,,
22874558,আন্তর্জাতিক গণিত অলিম্পিয়াড প্রশ্ন এবং উত্তর,Muhammed Zafar Iqbal,"Iqbal, Muhammed Zafar",মোহাম্মদ কায়কোবাদ,9848682872,,5,3.84,অন্যপ্রকাশ,Hardcover,176,2004,2004,,9/2/2014,,,,read,,,,1,,,0,,,,,
